idx,click
4,0.18175714257935235
6,0.1912495825756593
13,0.002485791765225581
17,0.2848905760747177
20,0.024997019536123554
26,0.07712752325727744
29,0.04648553655912455
32,0.28222841237516544
42,0.039056605543820476
43,0.11772214321052069
45,0.35668182459759695
47,0.20525211503712615
60,0.05415620199341468
63,0.22695297521837735
66,0.21397528295824358
75,0.16792591251700845
76,0.36742866799675467
89,0.19261920600301866
109,0.03621110431178373
110,0.16792591251700845
118,0.18593587976307216
120,0.04648553655912455
123,0.19261920600301866
131,0.19940961937498353
132,0.015226325732853317
135,0.16131851245180798
140,0.05415620199341468
162,0.16792591251700845
166,0.13753275298917317
167,0.010815687193888387
179,0.19940961937498353
181,0.19223496212043176
185,0.21397528295824358
187,0.053140902145672304
189,0.45596057195897005
200,0.17883703558834843
202,0.5221299832284262
208,0.0463151151669867
209,0.053140902145672304
222,0.03653724678635377
226,0.0237927589150665
232,0.053140902145672304
233,0.13603792460804873
239,0.053140902145672304
240,0.10447679997831513
241,0.04346985785613673
244,0.20525211503712615
250,0.24351178332229934
251,0.04648553655912455
258,0.029847946734542205
260,0.04145435273798666
262,0.08443711543969691
265,0.0513713507589367
270,0.019888896001988104
271,0.19223496212043176
277,0.007760021417461515
278,0.18142074785837875
285,0.21563660572567417
297,0.19940961937498353
298,0.003262607821548081
299,0.03348948965816972
303,0.04316565139607327
316,0.04173876479209396
317,0.07921386996106387
331,0.09602427979836582
333,0.28676236785721887
335,0.04648553655912455
348,0.36742866799675467
353,0.23450993676515963
354,0.10791925915195698
355,0.2707742199820025
357,0.19940961937498353
368,0.11557173479168538
371,0.19261920600301866
377,0.14802471714637455
380,0.03603530228395677
390,0.22462634665858502
394,0.10519023321689965
396,0.2206779308253688
402,0.036472727327703264
429,0.11626915788408013
430,0.06122650697440862
445,0.12589134111030967
447,0.4719275582257936
463,0.08962769667465444
467,0.07950457132708451
495,0.03603530228395677
509,0.03603530228395677
521,0.13562127715241823
522,0.14820260657991854
523,0.04145435273798666
536,0.1917886691437073
539,0.18175714257935235
542,0.21397528295824358
548,0.36742866799675467
553,0.053140902145672304
558,0.07324661716361984
560,0.05415620199341468
561,0.07370732906634705
571,0.1917886691437073
576,0.31650777157952403
577,0.27611162045388277
581,0.20525211503712615
585,0.011590528879325605
588,0.16792591251700845
589,0.43446950479983343
597,0.45596057195897005
601,0.26829354592159377
609,0.1917886691437073
611,0.053140902145672304
615,0.46881096743287004
622,0.05776540073114928
623,0.1917886691437073
624,0.1917886691437073
629,0.1701930184277484
638,0.10971686161785159
645,0.18893179855661454
647,0.16792591251700845
648,0.09144981982666957
649,0.04800400371523926
652,0.1858860970206472
657,0.16792591251700845
661,0.3679824046374755
672,0.18142074785837875
677,0.3635139106755945
683,0.1858860970206472
